RL ID,Order,Family,Species,Common Name,ED,RL Status,GE,EDGE,EDGE Rank,Distribution,Median ED
57490,ANURA,MANTELLIDAE,Guibemantis kathrinae,NA,21.30518808,Vulnerable,2,4.491113662,728,Madagascar,16.42792702
66390706,ANURA,MANTELLIDAE,Guibemantis tasifotsy,White-flanked Malagasy Tree Frog,21.30518808,Vulnerable,2,4.491113662,728,Madagascar,16.42792702
58769,ANURA,PYXICEPHALIDAE,Strongylopus kitumbeine,NA,21.23733842,Vulnerable,2,4.488067148,730,"Tanzania, United Republic of",16.42792702
58771,ANURA,PYXICEPHALIDAE,Strongylopus rhodesianus,Chimanimani Stream Frog,21.23733842,Vulnerable,2,4.488067148,730,"Mozambique,Zimbabwe",16.42792702
55577,ANURA,HYLIDAE,Charadrahyla nephila,Oaxacan Cloud-forest Treefrog,21.22745893,Vulnerable,2,4.487622774,732,Mexico,16.42792702
58438,ANURA,DICROGLOSSIDAE,Quasipaa shini,Spiny-flanked Frog,21.15958215,Vulnerable,2,4.484564367,733,China,16.42792702
57566,ANURA,MEGOPHRYIDAE,Leptolalax hamidi,NA,21.09883497,Vulnerable,2,4.481819252,734,"Indonesia,Malaysia",16.42792702
88136917,ANURA,MEGOPHRYIDAE,Leptolalax isos,NA,21.09883497,Vulnerable,2,4.481819252,734,"Cambodia,Viet Nam",16.42792702
58917,ANURA,RHACOPHORIDAE,Raorchestes bobingeri,NA,20.94678962,Vulnerable,2,4.474915231,736,India,16.42792702
9032,ANURA,MYOBATRACHIDAE,Geocrinia vitellina,Orange-bellied Frog,20.88167045,Vulnerable,2,4.471943682,737,Australia,16.42792702
58847,ANURA,RHACOPHORIDAE,Raorchestes glandulosus,Southern Bubble-nest Frog,20.8638044,Vulnerable,2,4.471126863,738,India,16.42792702
56037,ANURA,HEMIPHRACTIDAE,Stefania schuberti,Rana Stefania Del Auyan-tepui,20.79254859,Vulnerable,2,4.467862465,739,"Venezuela, Bolivarian Republic of",16.42792702
48101220,ANURA,RHACOPHORIDAE,Gracixalus quangi,Quang’s Tree Frog,20.73576149,Vulnerable,2,4.46525326,740,Viet Nam,16.42792702
58909,ANURA,RHACOPHORIDAE,Raorchestes graminirupes,NA,20.73009155,Vulnerable,2,4.464992368,741,India,16.42792702
57525,ANURA,MANTELLIDAE,Gephyromantis tandroka,NA,20.71705458,Vulnerable,2,4.464392238,742,Madagascar,16.42792702
59242,CAUDATA,PLETHODONTIDAE,Dendrotriton xolocalcae,Xolocalca Bromeliad Salamander,20.65423144,Vulnerable,2,4.461495244,743,Mexico,16.42792702
187830,ANURA,RHACOPHORIDAE,Raorchestes chromasynchysi,Confusing Green Bushfrog,20.49646881,Vulnerable,2,4.454183041,744,India,16.42792702
58470,ANURA,CERATOBATRACHIDAE,Platymantis montanus,NA,20.49365253,Vulnerable,2,4.454052022,745,Philippines,16.42792702
13595,ANURA,MYOBATRACHIDAE,Mixophyes balbus,Grey Barred Frog,20.46797925,Vulnerable,2,4.452856849,746,Australia,16.42792702
48109439,ANURA,DICROGLOSSIDAE,Quasipaa acanthophora,NA,20.37407408,Vulnerable,2,4.448473057,747,Viet Nam,16.42792702
40799,ANURA,DICROGLOSSIDAE,Limnonectes diuatus,NA,20.35592913,Vulnerable,2,4.447623773,748,NA,16.42792702
48109487,ANURA,DICROGLOSSIDAE,Limnonectes isanensis,NA,20.35592913,Vulnerable,2,4.447623773,748,Thailand,16.42792702
58343,ANURA,DICROGLOSSIDAE,Limnonectes kenepaiensis,Kenepai Wart Frog,20.35592913,Vulnerable,2,4.447623773,748,"Indonesia,Malaysia",16.42792702
58319,ANURA,DICROGLOSSIDAE,Limnonectes liui,NA,20.35592913,Vulnerable,2,4.447623773,748,China,16.42792702
190994,ANURA,DICROGLOSSIDAE,Limnonectes megastomias,NA,20.35592913,Vulnerable,2,4.447623773,748,Thailand,16.42792702
55671,ANURA,HYLIDAE,Charadrahyla taeniopus,Porthole Treefrog,20.34298148,Vulnerable,2,4.44701731,753,Mexico,16.42792702
17534,ANURA,CERATOBATRACHIDAE,Platymantis hazelae,Hazel's Wrinkled Ground Frog,20.25553777,Vulnerable,2,4.442911823,754,Philippines,16.42792702
56426,ANURA,CRAUGASTORIDAE,Craugastor aphanus,NA,20.00211102,Vulnerable,2,4.430917319,755,Guatemala,16.42792702
56478,ANURA,CRAUGASTORIDAE,Craugastor brocchi,NA,20.00211102,Vulnerable,2,4.430917319,755,"Guatemala,Mexico",16.42792702
56551,ANURA,CRAUGASTORIDAE,Craugastor decoratus,Rana ladrona adornada,20.00211102,Vulnerable,2,4.430917319,755,Mexico,16.42792702
56748,ANURA,CRAUGASTORIDAE,Craugastor matudai,Rana-chirriadora De Matuda,20.00211102,Vulnerable,2,4.430917319,755,"Guatemala,Mexico",16.42792702
56847,ANURA,CRAUGASTORIDAE,Craugastor persimilis,NA,20.00211102,Vulnerable,2,4.430917319,755,Costa Rica,16.42792702
56882,ANURA,CRAUGASTORIDAE,Craugastor psephosypharus,Rana Del Bosque Verrugosa,20.00211102,Vulnerable,2,4.430917319,755,"Belize,Guatemala",16.42792702
56921,ANURA,CRAUGASTORIDAE,Craugastor rivulus,NA,20.00211102,Vulnerable,2,4.430917319,755,Guatemala,16.42792702
57060,ANURA,CRAUGASTORIDAE,Craugastor xucanebi,NA,20.00211102,Vulnerable,2,4.430917319,755,Guatemala,16.42792702
