RL ID,Order,Family,Species,Common Name,ED,RL Status,GE,EDGE,EDGE Rank,Distribution,Median ED
8833,CARNIVORA,EUPLERIDAE,Galidictis fasciata,Broad-striped Vontsira,15.70024538,Vulnerable,2,4.201717774,366,Madagascar,7.564372143
136244,DIDELPHIMORPHIA,DIDELPHIDAE,Marmosa phaea,Little Woolly Mouse Opossum ,15.40378867,Vulnerable,2,4.183806686,367,"Colombia,Ecuador,Peru",7.564372143
5076,CHIROPTERA,HIPPOSIDERIDAE,Coelops robinsoni,Malayan Tailless Leaf-nosed Bat,15.34274881,Vulnerable,2,4.180078662,368,"Indonesia,Malaysia",7.564372143
136446,CETARTIODACTYLA,SUIDAE,Babyrousa celebensis,Sulawesi Babirusa,15.31973299,Vulnerable,2,4.17866935,369,Indonesia,7.564372143
17481,RODENTIA,PLATACANTHOMYIDAE,Platacanthomys lasiurus,Malabar Spiny Tree Mouse,15.2687502,Vulnerable,2,4.175540463,370,India,7.564372143
12815,DIDELPHIMORPHIA,DIDELPHIDAE,Marmosa xerophila,Dryland Mouse Opossum,15.19923916,Vulnerable,2,4.171258637,371,"Colombia,Venezuela, Bolivarian Republic of",7.564372143
21491,PRIMATES,TARSIIDAE,Tarsius tarsier,Spectral Tarsier,15.19262957,Vulnerable,2,4.170850535,372,Indonesia,7.564372143
2461,CETARTIODACTYLA,SUIDAE,Babyrousa babyrussa,Hairy Babirusa,15.10830286,Vulnerable,2,4.165629206,373,Indonesia,7.564372143
12592,CARNIVORA,VIVERRIDAE,Macrogalidia musschenbroekii,Sulawesi Civet,15.10496711,Vulnerable,2,4.165422102,374,Indonesia,7.564372143
88088852,CHIROPTERA,NATALIDAE,Chilonatalus micropus,Cuban Lesser Funnel-eared Bat,15.08925057,Vulnerable,2,4.164445744,375,NA,7.564372143
6313,RODENTIA,NESOMYIDAE,Delanymys brooksi,Delany's Swamp Mouse,14.51589317,Vulnerable,2,4.128159226,376,"Burundi,Congo, The Democratic Republic of the,Rwanda,Uganda",7.564372143
6204,CARNIVORA,PHOCIDAE,Cystophora cristata,Hooded Seal,14.36493553,Vulnerable,2,4.118382361,377,"Canada,Greenland,Iceland,Norway",7.564372143
21488,PRIMATES,TARSIIDAE,Tarsius bancanus,Horsfield’s Tarsier,14.2056578,Vulnerable,2,4.107961943,378,"Brunei Darussalam,Indonesia,Malaysia",7.564372143
21489,PRIMATES,TARSIIDAE,Tarsius dentatus,Dian's Tarsier,14.19284342,Vulnerable,2,4.10711885,379,Indonesia,7.564372143
136777,CHIROPTERA,NATALIDAE,Natalus primus,Cuban Greater Funnel-eared Bat,14.15517421,Vulnerable,2,4.104636367,380,Cuba,7.564372143
