RL ID,Order,Family,Species,Common name,ED,RL Status,GE,EDGE,EDGE Rank,Distribution,Median ED
22693185,CHARADRIIFORMES,SCOLOPACIDAE,Numenius tenuirostris,Slender-billed Curlew,10.59704,CR,4,5.223338615,48,"Albania,Austria,Azerbaijan,Bosnia and Herzegovina,Bulgaria,Canada,Switzerland,Cyprus,Czech Republic,Germany,Algeria,Egypt,Spain,France,United Kingdom,Greece,Croatia,Hungary,Israel,Iraq,Iran, Islamic Republic of,Italy,Japan,Kuwait,Kazakhstan,Libya,Morocco,Montenegro,Macedonia, the former Yugoslav Republic of,Malta,Netherlands,Poland,Palestinian Territory, Occupied,Portugal,Romania,Serbia,Russian Federation,Saudi Arabia,Tunisia,Turkey,Ukraine,Uzbekistan,Yemen",5.762774
22734789,CHARADRIIFORMES,TURNICIDAE,Turnix novaecaledoniae,New Caledonian Buttonquail,10.5434,CR (PE),4,5.218702567,49,New Caledonia,5.762774
22682517,BUCEROTIFORMES,BUCEROTIDAE,Rhabdotorrhinus waldeni,Rufous-headed Hornbill,10.50407,CR,4,5.215289608,50,Philippines,5.762774
22694053,CHARADRIIFORMES,CHARADRIIDAE,Vanellus gregarius,Sociable Lapwing,10.46977,CR,4,5.212303601,51,"United Arab Emirates,Afghanistan,Armenia,Austria,Azerbaijan,Belgium,Bulgaria,Bahrain,Belarus,Central African Republic,Switzerland,Cameroon,Cyprus,Czech Republic,Germany,Denmark,Egypt,Eritrea,Spain,Ethiopia,Finland,France,United Kingdom,Georgia,Greece,Hungary,Ireland,Israel,India,Iraq,Iran, Islamic Republic of,Italy,Jordan,Kyrgyzstan,Kuwait,Kazakhstan,Lebanon,Sri Lanka,Luxembourg,Morocco,Malta,Maldives,Netherlands,Oman,Pakistan,Poland,Palestinian Territory, Occupied,Portugal,Qatar,Romania,Russian Federation,Saudi Arabia,Seychelles,Sudan,Sweden,Slovenia,Slovakia,Somalia,Syrian Arab Republic,Chad,Tajikistan,Turkmenistan,Turkey,Uzbekistan,Yemen",5.762774
22693962,CHARADRIIFORMES,CHARADRIIDAE,Vanellus macropterus,Javan Lapwing,10.453,CR,4,5.210840427,52,Indonesia,5.762774
22697548,PELECANIFORMES,THRESKIORNITHIDAE,Nipponia nippon,Asian Crested Ibis,21.89182,EN,3,5.210221183,53,"China,Japan,Korea, Democratic People's Republic of,Korea, Republic of,Russian Federation,Taiwan, Province of China",5.762774
22692245,GRUIFORMES,RALLIDAE,Sarothrura ayresi,White-winged Flufftail,10.28856,CR,4,5.196378546,54,"Ethiopia,South Africa,Zambia,Zimbabwe",5.762774
22688340,MUSOPHAGIFORMES,MUSOPHAGIDAE,Tauraco bannermani,Bannerman's Turaco,21.4968,EN,3,5.192814619,55,Cameroon,5.762774
22712042,PASSERIFORMES,HIRUNDINIDAE,Eurochelidon sirintarae,White-eyed River Martin,10.20799,CR,4,5.189215639,56,Thailand,5.762774
103867212,PASSERIFORMES,HYLOCITREIDAE,Hylocitrea bonthaina,Southern Hylocitrea,21.22093,EN,3,5.180476179,57,Indonesia,5.762774
22695250,ACCIPITRIFORMES,ACCIPITRIDAE,Trigonoceps occipitalis,White-headed Vulture,9.966829,CR,4,5.167463894,58,"Angola,Burkina Faso,Burundi,Benin,Botswana,Congo, The Democratic Republic of the,Central African Republic,Côte d'Ivoire,Cameroon,Djibouti,Eritrea,Ethiopia,Gabon,Ghana,Gambia,Guinea,Guinea-Bissau,Kenya,Mali,Mauritania,Malawi,Mozambique,Namibia,Niger,Rwanda,Sudan,Senegal,Somalia,South Sudan,Chad,Togo,Tanzania, United Republic of,Uganda,South Africa,Zambia,Zimbabwe",5.762774
22698562,PROCELLARIIFORMES,HYDROBATIDAE,Hydrobates homochroa,Ashy Storm-petrel,20.82668,EN,3,5.162574616,59,"Ecuador,Mexico,United States",5.762774
22692053,GRUIFORMES,GRUIDAE,Leucogeranus leucogeranus,Siberian Crane,9.903283,CR,4,5.161652659,60,"Afghanistan,Azerbaijan,China,Hong Kong,India,Iran, Islamic Republic of,Jordan,Japan,Korea, Republic of,Kazakhstan,Mongolia,Pakistan,Russian Federation,Turkmenistan,Uzbekistan",5.762774
22698471,PROCELLARIIFORMES,OCEANITIDAE,Nesofregetta fuliginosa,Polynesian Storm-petrel,20.53555,EN,3,5.1491466,61,"Chile,Fiji,Kiribati,New Caledonia,Niue,French Polynesia,Pitcairn,Solomon Islands,Tokelau,Tonga,Tuvalu,United States Minor Outlying Islands,Vanuatu,Wallis and Futuna,Samoa",5.762774
22695336,ACCIPITRIFORMES,ACCIPITRIDAE,Eutriorchis astur,Madagascar Serpent-eagle,20.26286,EN,3,5.13640343,62,Madagascar,5.762774
22690819,COLUMBIFORMES,COLUMBIDAE,Claravis geoffroyi,Purple-winged Ground-dove,9.478498,CR,4,5.12191407,63,"Argentina,Brazil,Paraguay",5.762774
22732795,STRUTHIONIFORMES,STRUTHIONIDAE,Struthio molybdophanes,Somali Ostrich,40.81864,VU,2,5.119636534,64,"Djibouti,Ethiopia,Kenya,Somalia",5.762774
22703477,PASSERIFORMES,RHINOCRYPTIDAE,Merulaxis stresemanni,Stresemann's Bristlefront,9.433879,CR,4,5.11764683,65,Brazil,5.762774
22696565,PODICIPEDIFORMES,PODICIPEDIDAE,Tachybaptus pelzelnii,Madagascar Grebe,19.8509,EN,3,5.116838654,66,Madagascar,5.762774
22692024,OTIDIFORMES,OTIDIDAE,Sypheotides indicus,Lesser Florican,19.52634,EN,3,5.101150481,67,"India,Nepal,Pakistan",5.762774
22693690,CHARADRIIFORMES,RECURVIROSTRIDAE,Himantopus novaezelandiae,Black Stilt,9.075958,CR,4,5.082740912,68,New Zealand,5.762774
22697488,PELECANIFORMES,THRESKIORNITHIDAE,Geronticus eremita,Northern Bald Ibis,19.13604,EN,3,5.081952786,69,"Switzerland,Cape Verde,Germany,Algeria,Western Sahara,Eritrea,Spain,Ethiopia,Israel,Iraq,Jordan,Morocco,Montenegro,Mali,Mauritania,Portugal,Serbia,Saudi Arabia,Sudan,Senegal,Somalia,Syrian Arab Republic,Turkey,Yemen",5.762774
22692857,GRUIFORMES,RALLIDAE,Pareudiastes silvestris,Makira Moorhen,9.054193,CR,4,5.080578484,70,Solomon Islands,5.762774
22691932,OTIDIFORMES,OTIDIDAE,Ardeotis nigriceps,Great Indian Bustard,8.988413,CR,4,5.074014443,71,"India,Pakistan",5.762774
22692737,GRUIFORMES,RALLIDAE,Cyanolimnas cerverai,Zapata Rail,8.885214,CR,4,5.063628828,72,Cuba,5.762774
22696649,SULIFORMES,SULIDAE,Papasula abbotti,Abbott's Booby,18.68152,EN,3,5.059121666,73,"Australia,Christmas Island,Indonesia,Mauritius,Seychelles",5.762774
22692854,GRUIFORMES,RALLIDAE,Pareudiastes pacificus,Samoan Moorhen,8.789358,CR,4,5.0538846,74,Samoa,5.762774
22695180,ACCIPITRIFORMES,ACCIPITRIDAE,Neophron percnopterus,Egyptian Vulture,18.55565,EN,3,5.052705789,75,"Andorra,United Arab Emirates,Afghanistan,Albania,Armenia,Angola,Austria,Azerbaijan,Bosnia and Herzegovina,Bangladesh,Belgium,Burkina Faso,Bulgaria,Benin,Botswana,Congo, The Democratic Republic of the,Central African Republic,Switzerland,Côte d'Ivoire,Cameroon,China,Cape Verde,Cyprus,Czech Republic,Djibouti,Denmark,Algeria,Estonia,Egypt,Western Sahara,Eritrea,Spain,Ethiopia,Finland,France,United Kingdom,Georgia,Ghana,Gibraltar,Gambia,Guinea,Greece,Guinea-Bissau,Croatia,Hungary,Israel,India,Iraq,Iran, Islamic Republic of,Italy,Jordan,Kenya,Kyrgyzstan,Kuwait,Kazakhstan,Lebanon,Sri Lanka,Libya,Morocco,Moldova,Montenegro,Macedonia, the former Yugoslav Republic of,Mali,Myanmar,Mongolia,Mauritania,Malta,Mozambique,Namibia,Niger,Nigeria,Norway,Nepal,Oman,Pakistan,Poland,Palestinian Territory, Occupied,Portugal,Qatar,Romania,Serbia,Russian Federation,Saudi Arabia,Sudan,Sweden,Slovenia,Svalbard and Jan Mayen,Slovakia,Senegal,Somalia,South Sudan,Syrian Arab Republic,Chad,Togo,Tajikistan,Turkmenistan,Tunisia,Turkey,Tanzania, United Republic of,Ukraine,Uganda,Uzbekistan,Yemen,South Africa,Zimbabwe",5.762774
22696533,PODICIPEDIFORMES,PODICIPEDIDAE,Rollandia microptera,Titicaca Grebe,18.45592,EN,3,5.047592936,76,"Bolivia, Plurinational States of,Peru",5.762774
