RL ID,Order,Family,Species,Common Name,ED,RL Status,GE,EDGE,EDGE Rank,Distribution,Median ED
39907,Squamata,Leiosauridae ,Anisolepis undulatus,Wiegmann's Tree Lizard,11.91816142,Vulnerable,2,3.944928544,590,"Argentina,Brazil,Uruguay",11.17837196
104693954,Squamata,Gekkonidae,Cyrtodactylus lomyenensis,Lomyen Bent-toed Gecko,11.90748592,Vulnerable,2,3.944101808,591,NA,11.17837196
61476,Squamata,Scincidae,Chalcides guentheri,Günther's Cylindrical Skink,11.8765383,Vulnerable,2,3.94170128,592,"Israel,Jordan,Lebanon,Palestinian Territory, Occupied,Syrian Arab Republic",11.17837196
64178,Squamata,Phrynosomatidae,Uta palmeri,NA,11.85174758,Vulnerable,2,3.939774162,593,Mexico,11.17837196
176840,Squamata,Lamprophiidae,Liopholidophis grandidieri,Grandidier's Water Snake,11.77657829,Vulnerable,2,3.933908035,594,Madagascar,11.17837196
172922,Squamata,Lamprophiidae,Compsophis zeny,NA,11.73982713,Vulnerable,2,3.931027442,595,Madagascar,11.17837196
177542,Squamata,Lamprophiidae,Lycodryas citrinus,NA,11.72920754,Vulnerable,2,3.93019352,596,Madagascar,11.17837196
203135,Squamata,Leiosauridae ,Anisolepis longicauda,NA,11.72160336,Vulnerable,2,3.929595961,597,"Argentina,Paraguay",11.17837196
176841,Squamata,Lamprophiidae,Thamnosophis stumpffi,Yellow-striped Water Snake,11.69861909,Vulnerable,2,3.927787615,598,Madagascar,11.17837196
192221,Squamata,Elapidae,Bungarus slowinskii,Red River Krait,11.59218476,Vulnerable,2,3.919370726,599,Viet Nam,11.17837196
99941772,Squamata,Agamidae ,Pseudocalotes larutensis,Bukit Larut False Garden Lizard,11.56650316,Vulnerable,2,3.917329156,600,NA,11.17837196
199742,Squamata,Scincidae,Plestiodon barbouri,Barbour's blue-tailed Skink,11.31975029,Vulnerable,2,3.89749805,601,Japan,11.17837196
169806,Squamata,Scincidae,Dasia griffini,Griffin's Keel-scaled Tree Skink,11.30809798,Vulnerable,2,3.896551779,602,Philippines,11.17837196
203811,Squamata,Amphisbaenidae,Cynisca leonina,Los Archipelago Worm Lizard,11.30520865,Vulnerable,2,3.896317001,603,Guinea,11.17837196
176305,Squamata,Chamaeleonidae,Calumma peyrierasi,NA,11.29904081,Vulnerable,2,3.895815638,604,Madagascar,11.17837196
40796,Squamata,Scincidae,Oligosoma lichenigera,Lord Howe and Norfolk Islands Skink,11.27560447,Vulnerable,2,3.893908277,605,"Australia,Norfolk Island",11.17837196
17450723,Squamata,Agamidae ,Agama montana,Montane Rock Agama,11.26745652,Vulnerable,2,3.893244306,606,"Tanzania, United Republic of",11.17837196
64169,Squamata,Phrynosomatidae,Urosaurus clarionensis,NA,11.23323153,Vulnerable,2,3.890450506,607,Mexico,11.17837196
8070,Testudines,Podocnemididae,Erymnochelys madagascariensis,Madagascar Big-headed Turtle,96.7814642,Critically Endangered,4,7.355323754,1,Madagascar,31.25360088
6493,Testudines,Dermatemydidae,Dermatemys mawii,Central American River Turtle,78.69960055,Critically Endangered,4,7.150853296,2,"Belize,Guatemala,Mexico",31.25360088
3898,Testudines,Carettochelyidae,Carettochelys insculpta,Pig-nosed Turtle,149.6968609,Endangered,3,7.094711817,3,NA,31.25360088
4606,Testudines,Chelidae,Chelodina mccordi,Roti Island Snake-necked Turtle,45.3043467,Critically Endangered,4,6.60782456,7,Indonesia,31.25360088
17080,Testudines,Chelidae,Mesoclemmys dahli,Dahl's Toad-headed Turtle,45.20689918,Critically Endangered,4,6.605717842,8,Colombia,31.25360088
17081,Testudines,Chelidae,Mesoclemmys hogei,Hoge’s Side-necked Turtle,45.20689918,Critically Endangered,4,6.605717842,8,Brazil,31.25360088
18457,Testudines,Chelidae,Pseudemydura umbrina,Western Swamp Turtle,45.20689918,Critically Endangered,4,6.605717842,8,Australia,31.25360088
20824,Testudines,Kinosternidae,Sternotherus depressus,Flattened Musk Turtle,44.53100034,Critically Endangered,4,6.590982142,11,United States,31.25360088
9014,Testudines,Testudinidae,Astrochelys radiata,Radiated Tortoise,42.86402613,Critically Endangered,4,6.553683256,12,Madagascar,31.25360088
9016,Testudines,Testudinidae,Astrochelys yniphora,Ploughshare Tortoise,42.86402613,Critically Endangered,4,6.553683256,12,Madagascar,31.25360088
