Class,Order,Family,Species,ED,RL Category,GE,EDGE,EDGE Rank,Distribution,RL Synonym,Median ED
PINOPSIDA,PINALES,CUPRESSACEAE,Juniperus cedrus,7.242385478,EN,3,4.188731343,147,"Spain, Portugal",NA,6.677812022
PINOPSIDA,PINALES,PODOCARPACEAE,Retrophyllum rospigliosii,15.32418537,VU,2,4.178942134,148,"Bolivia, Plurinational States of, Colombia, Ecuador, Peru, Venezuela, Bolivarian Republic of",NA,6.677812022
CYCADOPSIDA,CYCADALES,ZAMIACEAE,Zamia elegantissima,7.1393635,EN,3,4.176153525,149,Panama,NA,6.677812022
PINOPSIDA,PINALES,PINACEAE,Picea breweriana,15.22698818,VU,2,4.172970154,150,United States,NA,6.677812022
CYCADOPSIDA,CYCADALES,ZAMIACEAE,Zamia dressleri,7.028988153,EN,3,4.162500053,151,Panama,NA,6.677812022
CYCADOPSIDA,CYCADALES,CYCADACEAE,Cycas elephantipes,6.9894891,EN,3,4.157568357,152,Thailand,NA,6.677812022
CYCADOPSIDA,CYCADALES,ZAMIACEAE,Macrozamia flexuosa,6.889731319,EN,3,4.145003623,153,Australia,NA,6.677812022
PINOPSIDA,PINALES,PODOCARPACEAE,Podocarpus sprucei,6.880148473,EN,3,4.143788287,154,"Ecuador, Peru",NA,6.677812022
CYCADOPSIDA,CYCADALES,ZAMIACEAE,Zamia ipetiensis,6.875648241,EN,3,4.143217039,155,Panama,NA,6.677812022
PINOPSIDA,PINALES,PODOCARPACEAE,Podocarpus transiens,6.764676973,EN,3,4.129026397,156,Brazil,NA,6.677812022
CYCADOPSIDA,CYCADALES,CYCADACEAE,Cycas javana,6.744158523,EN,3,4.126380362,157,Indonesia,NA,6.677812022
CYCADOPSIDA,CYCADALES,CYCADACEAE,Cycas pectinata,13.4426432,VU,2,4.056479525,158,"Bangladesh, Bhutan, China, India, Cambodia, Lao People's Democratic Republic, Myanmar, Nepal, Thailand, Viet Nam",NA,6.677812022
CYCADOPSIDA,CYCADALES,ZAMIACEAE,Dioon argenteum,12.49512633,VU,2,3.988622969,159,Mexico,NA,6.677812022
PINOPSIDA,PINALES,CUPRESSACEAE,Thuja koraiensis,12.30011339,VU,2,3.974066922,160,"China, Korea, Democratic People's Republic of, Korea, Republic of",NA,6.677812022
PINOPSIDA,PINALES,PODOCARPACEAE,Podocarpus matudae,11.89782483,VU,2,3.94335304,161,"Guatemala, Honduras, Mexico, El Salvador",NA,6.677812022
CYCADOPSIDA,CYCADALES,ZAMIACEAE,Dioon angustifolium,11.41495198,VU,2,3.905195912,162,Mexico,NA,6.677812022
CYCADOPSIDA,CYCADALES,CYCADACEAE,Cycas panzhihuaensis,11.28158104,VU,2,3.894395025,163,China,NA,6.677812022
GNETOPSIDA,GNETALES,GNETACEAE,Gnetum globosum,10.98355061,VU,2,3.869829288,164,Malaysia,NA,6.677812022
PINOPSIDA,PINALES,PINACEAE,Pinus krempfii,10.93406116,VU,2,3.865690955,165,Viet Nam,NA,6.677812022
GNETOPSIDA,GNETALES,GNETACEAE,Gnetum acutum,10.83687995,VU,2,3.857514438,166,"Brunei Darussalam, Malaysia",NA,6.677812022
GNETOPSIDA,GNETALES,GNETACEAE,Gnetum contractum,10.71001867,VU,2,3.846739133,167,India,NA,6.677812022
CYCADOPSIDA,CYCADALES,ZAMIACEAE,Dioon tomasellii,10.54540692,VU,2,3.83258205,168,Mexico,NA,6.677812022
CYCADOPSIDA,CYCADALES,CYCADACEAE,Cycas segmentifida,10.50989899,VU,2,3.829501808,169,China,NA,6.677812022
CYCADOPSIDA,CYCADALES,ZAMIACEAE,Dioon merolae,10.39799681,VU,2,3.819731983,170,Mexico,NA,6.677812022
